ingredient_id,old_price,new_price,supplier,date,category,percentage_change,min_price,max_price,total_variation,price_progression,id,created_date,updated_date,created_by_id,created_by,is_sample
"684c02878e7a40c69f0ff2cf","null","4.5","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-14","Verduras e hortaliças","null","null","null","null","[]","684c0288b60fe3a1a47e0f30","2025-06-13T10:50:48.037000","2025-06-13T10:50:48.037000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe25fede6d0d2bb1ee9a","0","3.75","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-14","Verduras e hortaliças","null","null","null","null","[]","684c028b891c8dfdffa1859c","2025-06-13T10:50:51.041000","2025-06-13T10:50:51.041000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe2346210cc96783bfac","0","3.5","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-14","Verduras e hortaliças","null","null","null","null","[]","684c028cfede6d0d2bb20622","2025-06-13T10:50:52.912000","2025-06-13T10:50:52.912000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe1d46210cc96783bf9f","0","29","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-18","Temperos e condimentos","null","null","null","null","[]","684c028eb60fe3a1a47e0f4d","2025-06-13T10:50:54.751000","2025-06-13T10:50:54.751000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe2c891c8dfdffa17449","0","9.75","INDUSTRIA DE ALIMENTACAO MONJOLINHO LTDA","2025-05-02","Cereais e derivados","null","null","null","null","[]","684c02918e7a40c69f0ff320","2025-06-13T10:50:57.950000","2025-06-13T10:50:57.950000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe1c8e7a40c69f0fe62a","0","24.59","NOVA MEGA G ATACADISTA DE ALIMENTOS SA","2025-03-16","Carnes e derivados","null","null","null","null","[]","684c0293fede6d0d2bb2066c","2025-06-13T10:50:59.796000","2025-06-13T10:50:59.796000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe3102847f2ede8192fb","0","18.65","NOVA MEGA G ATACADISTA DE ALIMENTOS SA","2025-03-16","Carnes e derivados","null","null","null","null","[]","684c0296b60fe3a1a47e0f6f","2025-06-13T10:51:02.121000","2025-06-13T10:51:02.121000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe36ce1a5c4bb28d4793","0","32.19","NOVA MEGA G ATACADISTA DE ALIMENTOS SA","2025-03-16","Laticínios","null","null","null","null","[]","684c029802847f2ede819a2e","2025-06-13T10:51:04.036000","2025-06-13T10:51:04.036000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe36ce1a5c4bb28d4793","32.19","34.9","SF COMERCIO DE FRIOS E LATICINIOS EIRELI","2025-05-22","Laticínios","null","null","null","null","[]","684c0299ce1a5c4bb28d5eec","2025-06-13T10:51:05.351000","2025-06-13T10:51:05.351000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe34db03f8ffb28977ee","0","16.99","Goncalves e Tortola SA - (FL 01027)","2025-05-09","Carnes e derivados","null","null","null","null","[]","684c029bb60fe3a1a47e0fa4","2025-06-13T10:51:07.241000","2025-06-13T10:51:07.241000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe34db03f8ffb28977ee","16.99","16.2","Goncalves e Tortola SA - (FL 01027)","2025-04-07","Carnes e derivados","null","null","null","null","[]","684c029cce1a5c4bb28d5f0f","2025-06-13T10:51:08.551000","2025-06-13T10:51:08.551000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe34db03f8ffb28977ee","16.2","18","Goncalves e Tortola SA - (FL 01027)","2025-04-13","Carnes e derivados","null","null","null","null","[]","684c029d2cff4fc79142c651","2025-06-13T10:51:09.825000","2025-06-13T10:51:09.825000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe34db03f8ffb28977ee","18","17.5","Goncalves e Tortola SA - (FL 01027)","2025-05-18","Carnes e derivados","null","null","null","null","[]","684c029ffede6d0d2bb206ce","2025-06-13T10:51:11.108000","2025-06-13T10:51:11.108000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684c02a1b60fe3a1a47e0fc9","null","7.6","Goncalves e Tortola SA - (FL 01027)","2025-05-18","Carnes e derivados","null","null","null","null","[]","684c02a102847f2ede819a78","2025-06-13T10:51:13.608000","2025-06-13T10:51:13.608000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684c02a3ce1a5c4bb28d5f38","null","11","Goncalves e Tortola SA - (FL 01027)","2025-04-25","Carnes e derivados","null","null","null","null","[]","684c02a3ce1a5c4bb28d5f3d","2025-06-13T10:51:15.856000","2025-06-13T10:51:15.856000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe3e02847f2ede819306","0","9.85","Goncalves e Tortola SA - (FL 01027)","2025-05-26","Carnes e derivados","null","null","null","null","[]","684c02a5b60fe3a1a47e0fdc","2025-06-13T10:51:17.657000","2025-06-13T10:51:17.657000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe2746210cc96783bfb2","0","4.5","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-18","Verduras e hortaliças","null","null","null","null","[]","684c02a7b60fe3a1a47e0fe5","2025-06-13T10:51:19.412000","2025-06-13T10:51:19.412000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe25891c8dfdffa1742f","0","3.5","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-18","Verduras e hortaliças","null","null","null","null","[]","684c02a9b60fe3a1a47e0fed","2025-06-13T10:51:21.187000","2025-06-13T10:51:21.187000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe3cce1a5c4bb28d47b8","0","6.43","ORIVAL DORIVAL BORROMEU BIAGIOTTI","2025-03-18","Verduras e hortaliças","null","null","null","null","[]","684c02aa891c8dfdffa185f2","2025-06-13T10:51:22.997000","2025-06-13T10:51:22.997000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe1ece1a5c4bb28d4731","0","4.8","BRASILIA ALIMENTOS LTDA","2025-05-27","Cereais e derivados","null","null","null","null","[]","684c02ac8e7a40c69f0ff373","2025-06-13T10:51:24.787000","2025-06-13T10:51:24.787000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe2d891c8dfdffa17450","0","5.23","BRASILIA ALIMENTOS LTDA","2025-04-02","Cereais e derivados","null","null","null","null","[]","684c02aefede6d0d2bb20700","2025-06-13T10:51:26.681000","2025-06-13T10:51:26.681000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe2c60647d247b5533c7","0","6.5","BRASILIA ALIMENTOS LTDA","2025-05-27","Cereais e derivados","null","null","null","null","[]","684c02b0767c7d82725a7986","2025-06-13T10:51:28.457000","2025-06-13T10:51:28.457000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
"684bfe1e8e7a40c69f0fe63b","0","4.4","BRASILIA ALIMENTOS LTDA","2025-05-16","Cereais e derivados","null","null","null","null","[]","684c02b2ce1a5c4bb28d5fb2","2025-06-13T10:51:30.252000","2025-06-13T10:51:30.252000","67db369d572adaa9519c9645","admsfempresas@gmail.com","false"
